Countryofbirth,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Paraguay,320,340,350,350,360,360,380,400,400,410,420,410,410,420,450,450,470,490,490,500,510,570,570,570,600
Peru,5320,5550,5590,5670,5770,5940,6050,6300,6430,6680,7150,7760,8530,9200,9610,9840,10230,10680,11000,11270,11570,11790,12170,12560,13050
Suriname,80,80,90,90,90,80,90,100,100,100,110,120,110,120,120,120,140,160,160,170,160,170,170,160,170
Uruguay,10980,10850,10770,10650,10570,10490,10520,10600,10670,10790,10940,10880,10830,10710,10630,10540,10570,10560,10570,10580,10620,10630,10550,10640,10620
Venezuela,890,1000,1070,1130,1170,1260,1310,1390,1460,1580,1800,2000,2400,2770,3350,3870,4370,4790,5160,5760,6470,7040,7080,7180,7460
"S America, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize,40,40,40,40,50,50,50,50,60,60,60,60,60,60,60,70,70,80,80,80,80,80,80,90,90
Costa Rica,350,350,360,360,350,350,350,360,370,380,390,400,420,420,440,450,470,460,490,500,530,540,560,590,600
El Salvador,10960,11090,10990,10830,10670,10570,10630,10670,10710,10750,10780,10780,10820,10870,10960,10990,11100,11200,11280,11350,11430,11420,11360,11350,11400
Guatemala,270,290,300,310,310,310,330,340,350,350,350,380,400,410,410,430,460,470,510,540,550,570,580,630,660
Honduras,170,180,190,190,180,190,200,220,220,230,220,230,240,240,240,240,250,270,310,320,310,320,320,340,380
Mexico,1030,1090,1160,1210,1270,1320,1380,1520,1630,1820,2140,2450,2820,3030,3400,3770,4270,4620,4980,5390,5920,6370,6820,7330,7700
Nicaragua,850,850,840,810,800,780,780,770,780,770,790,810,810,810,820,820,830,850,860,860,870,880,880,900,910
Panama,130,130,130,140,140,140,150,150,160,170,190,190,200,200,220,230,230,240,260,250,260,270,270,270,300
Anguilla,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,20,20,20,20,20
Antigua/Barbuda,20,30,30,30,30,30,30,30,40,30,40,40,40,40,40,40,40,40,50,60,60,60,60,60,60
Aruba,60,60,60,60,60,50,60,60,50,50,50,50,50,60,60,60,60,60,60,70,70,70,70,70,70
Bahamas,240,260,270,270,270,240,250,260,260,270,270,270,280,280,280,290,300,300,300,310,310,310,310,310,310
Barbados,360,360,380,390,370,350,360,370,380,380,390,400,420,420,430,430,440,450,450,450,450,450,430,420,420
Cayman Islands,10,10,10,20,20,20,20,30,30,40,40,40,50,60,80,90,100,110,130,130,150,150,160,160,170
Cuba,500,500,490,500,510,510,530,560,590,610,640,670,710,720,750,760,810,870,870,880,900,920,940,950,990
Dominica,10,10,20,20,20,10,10,20,20,20,20,30,30,30,30,40,40,40,40,40,40,40,40,40,40
Dominican Rep,50,60,60,70,70,70,80,90,100,110,110,120,130,130,140,160,170,170,200,210,210,230,240,240,250
Grenada,100,110,120,120,130,120,120,130,120,130,130,130,130,130,130,130,140,140,140,140,140,140,140,140,140
Guadeloupe,10,10,10,10,10,10,20,20,20,20,20,20,20,20,20,30,20,20,20,20,20,20,20,20,20
Haiti,80,80,90,90,90,90,90,100,90,90,110,100,100,100,100,110,110,110,120,120,120,130,140,140,140
Jamaica,900,900,930,940,930,930,950,960,970,1000,1040,1040,1060,1070,1090,1150,1170,1220,1250,1290,1280,1310,1320,1330,1340
Martinique,20,30,30,30,40,30,40,30,30,30,40,40,40,40,40,50,40,40,50,40,40,40,40,40,40
Montserrat,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,20,10,10,20,20,20,10
